"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Continuous Defect Prediction: The Idea and a Related Dataset","L. Madeyski; M. Kawalerowicz","Fac. of Comput. Sci. & Manage., Wroclaw Univ. of Sci. & Technol., Wroclaw, Poland; Fac. of Electr. Eng., Autom. Control & Inf., Opole Univ. of Technol., Opole, Poland","2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR)","3 Jul 2017","2017","","","515","518","We would like to present the idea of our Continuous Defect Prediction (CDP) research and a related dataset that we created and share. Our dataset is currently a set of more than 11 million data rows, representing files involved in Continuous Integration (CI) builds, that synthesize the results of CI builds with data we mine from software repositories. Our dataset embraces 1265 software projects, 30,022 distinct commit authors and several software process metrics that in earlier research appeared to be useful in software defect prediction. In this particular dataset we use TravisTorrent as the source of CI data. TravisTorrent synthesizes commit level information from the Travis CI server and GitHub open-source projects repositories. We extend this data to a file change level and calculate the software process metrics that may be used, for example, as features to predict risky software changes that could break the build if committed to a repository with CI enabled.","","978-1-5386-1544-7","10.1109/MSR.2017.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7962410","mining software repositories;defect prediction;continuous defect prediction;software repository;open science","Software;Measurement;Databases;Servers;Predictive models;Tools;History","integrated software;public domain software;software development management;software metrics","continuous defect prediction;CDP;continuous integration;software repositories;software projects;distinct commit authors;software process metrics;software defect prediction;TravisTorrent;commit level information;Travis CI server;GitHub open-source projects repositories;risky software changes","","1","","11","","3 Jul 2017","","","IEEE","IEEE Conferences"
"CLEVER: Combining Code Metrics with Clone Detection for Just-in-Time Fault Prevention and Resolution in Large Industrial Projects","M. Nayrolles; A. Hamou-Lhadj",NA; NA,"2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR)","30 Dec 2018","2018","","","153","164","Automatic prevention and resolution of faults is an important research topic in the field of software maintenance and evolution. Existing approaches leverage code and process metrics to build metric-based models that can effectively prevent defect insertion in a software project. Metrics, however, may vary from one project to another, hindering the reuse of these models. Moreover, they tend to generate high false positive rates by classifying healthy commits as risky. Finally, they do not provide sufficient insights to developers on how to fix the detected risky commits. In this paper, we propose an approach, called CLEVER (Combining Levels of Bug Prevention and Resolution techniques), which relies on a two-phases process for intercepting risky commits before they reach the central repository. CLEVER was developed in collaboration with Ubisoft developers. When applied to 12 Ubisoft systems, the results show that CLEVER can detect risky commits with 79% precision and 65% recall, which outperforms the performance of Commit-guru, a recent approach that was proposed in the literature. In addition, CLEVER is able to recommend qualitative fixes to developers on how to fix risky commits in 66.7% of the cases.","2574-3864","978-1-4503-5716-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595198","Bug Prediction;Risky Software Commits;Clone Detection;Software Maintenance","Measurement;Computer bugs;Tools;Cloning;Software maintenance;Software systems","DP industry;program debugging;software maintenance;software metrics","process metrics;software project;Ubisoft developers;code metrics;clone detection;industrial projects;software maintenance;just-in-time fault prevention;commit-guru;CLEVER;risky commits;false positive rates","","","","47","","30 Dec 2018","","","IEEE","IEEE Conferences"
"Predicting Defects with Latent and Semantic Features from Commit Logs in an Industrial Setting","B. Eken; R. Atar; S. Sertalp; A. Tosun",Istanbul Technical University; Ericsson Turkey; Ericsson Turkey; Istanbul Technical University,"2019 34th IEEE/ACM International Conference on Automated Software Engineering Workshop (ASEW)","27 Jan 2020","2019","","","98","105","Software defect prediction is still a challenging task in industrial settings. Noisy data and/or lack of data make it hard to build successful prediction models. In this study, we aim to build a change-level defect prediction model for a software project in an industrial setting. We combine various probabilistic models, namely matrix factorization and topic modeling, with the expectation of overcoming the noisy and limited nature of industrial settings by extracting hidden features from multiple resources. Commit level process metrics, latent features from commits, and semantic features from commit messages are combined to build the defect predictors with the use of Log Filtering and feature selection techniques, and two machine learning algorithms Naive Bayes and Extreme Gradient Boosting (XGBoost). Collecting data from various sources and applying data pre-processing techniques show a statistically significant improvement in terms of probability of detection by up to 24% when compared to a base model with process metrics only.","2151-0830","978-1-7281-4136-7","10.1109/ASEW.2019.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967412","software defect prediction;matrix factorization;topic modeling;XGBoost","","Bayes methods;feature extraction;feature selection;gradient methods;information filtering;learning (artificial intelligence);matrix decomposition;probability;project management;software fault tolerance;software management;software metrics","XGBoost;extreme gradient boosting;probability of detection;data collection;log filtering;naive Bayes machine learning algorithms;software project;latent features;commit level process metrics;hidden feature extraction;topic modeling;matrix factorization;probabilistic models;change-level defect prediction model;noisy data;software defect prediction;industrial setting;commit logs;semantic features;data pre-processing techniques;feature selection techniques;defect predictors;commit messages","","","","46","","27 Jan 2020","","","IEEE","IEEE Conferences"
"Personalized defect prediction","T. Jiang; L. Tan; S. Kim","University of Waterloo, ON, Canada; University of Waterloo, ON, Canada; Hong Kong University of Science and Technology, China","2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)","2 Jan 2014","2013","","","279","289","Many defect prediction techniques have been proposed. While they often take the author of the code into consideration, none of these techniques build a separate prediction model for each developer. Different developers have different coding styles, commit frequencies, and experience levels, causing different defect patterns. When the defects of different developers are combined, such differences are obscured, hurting prediction performance. This paper proposes personalized defect prediction-building a separate prediction model for each developer to predict software defects. As a proof of concept, we apply our personalized defect prediction to classify defects at the file change level. We evaluate our personalized change classification technique on six large software projects written in C and Java-the Linux kernel, PostgreSQL, Xorg, Eclipse, Lucene and Jackrabbit. Our personalized approach can discover up to 155 more bugs than the traditional change classification (210 versus 55) if developers inspect the top 20% lines of code that are predicted buggy. In addition, our approach improves the F1-score by 0.01-0.06 compared to the traditional change classification.","","978-1-4799-0215-6","10.1109/ASE.2013.6693087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693087","Change classification;machine learning;personalized defect prediction;software reliability","Predictive models;Vectors;Mars;Syntactics;Computer bugs;Training;Feature extraction","Java;Linux;program compilers","personalized defect prediction;separate prediction model;coding styles;commit frequencies;experience levels;different defect patterns;software defect prediction;C software projects;java software projects;Linux kernel;PostgreSQL;Xorg;Eclipse;Lucene;Jackrabbit","","84","","59","","2 Jan 2014","","","IEEE","IEEE Conferences"
"Warning-Introducing Commits vs Bug-Introducing Commits: A tool, statistical models, and a preliminary user study","L. -P. Querel; P. C. Rigby","Concordia University,Department of Computer Science and Software Engineering,Montreal,Canada; Concordia University,Department of Computer Science and Software Engineering,Montreal,Canada","2021 IEEE/ACM 29th International Conference on Program Comprehension (ICPC)","28 Jun 2021","2021","","","433","443","This paper partially replicates prior works on building historical commits [1], commit risk modeling [2], and a comparison of statistical bug models and static bug finders [3].We examine 8 Maven-based projects with an average lifespan of 5.8 years. To historically build these projects across a total of 45k commits, we develop a series of techniques, such as flexibly selecting the version of a library that is closest to the commit date. We are able to build a per project average of 78.4% of all commits, a doubling in buildability compared to prior work. We also develop a git blame strategy to assign warnings even when a commit does not build.We run JLint and FindBugs and create a logistic regression model to predict if a commit that introduces a warning has higher odds of introducing a bug. The static bug finders model accounted for only 13% of the deviance, while the statistical bug model accounted for 19.5%. We had expected static bug finder warnings to improve the predictive power of models of bug introducing changes, but we clearly attained a negative result.To understand this negative result, we perform a preliminary user study of developers who introduced new warnings in 37 projects. We found that while warnings might not predict bugs, 53% and 21% of warnings in Findbugs and Jlint respectively are useful. We also study whether just-in-time warnings presentation on each commit impacted usefulness. We find that the later a warning is shown to a developer, the less useful it is perceived to be (a median of 11.5 days versus 23 days for non useful warnings).Based on our findings, we modify the existing COMMITGURU interface to add new warnings to the specific line in a changed file. The empirical study data [4] and WARNINGSGURU tool [5] are publicly available.","2643-7171","978-1-6654-1403-6","10.1109/ICPC52881.2021.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463031","bug detection;static bug finder;statistical bug prediction;user study","Computer bugs;Buildings;Predictive models;Tools;Libraries;Logistics","Java;program debugging;public domain software;regression analysis;software metrics;software quality","project average;logistic regression model;static bug finders model;statistical bug model;static bug finder warnings;just-in-time warnings presentation;commit impacted usefulness;nonuseful warnings;empirical study data;bug-introducing commits;statistical models;historical commits;commit risk modeling;commit date;Maven-based projects","","","","28","","28 Jun 2021","","","IEEE","IEEE Conferences"
"Assessing Personalized Software Defect Predictors","B. Eken","Fac. of Comput. & Inf. Eng., Istanbul Tech. Univ., Istanbul, Turkey","2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion)","30 Aug 2018","2018","","","488","491","Software defect prediction models guide developers and testers to identify defect prone software modules in fewer time and effort, compared to manual inspections of the source code. The state-of-the-art predictors on publicly available software engineering data could catch around 70% of the defects. While early studies mostly utilize static code properties of the software, recent studies incorporate the people factor into the prediction models, such as the number of developers that touched a code unit, the experience of the developer, and interaction and cognitive behaviors of developers. Those information could give a stronger clue about the defect-prone parts because they could explain defect injection patterns in software development. Personalization has been emerging in many other systems such as social platforms, web search engines such that people get customized recommendations based on their actions, profiles and interest. Following this point of view, customization in defect prediction with respect to each developer would increase predictions' accuracy and usefulness than traditional, general models. In this thesis, we focus on building a personalized defect prediction framework that gives instant feedback to the developer at change level, based on historical defect and change data. Our preliminary analysis of the personalized prediction models of 121 developers in six open source projects indicate that, a personalized approach is not always the best model when compared to general models built for six projects. Other factors such as project characteristics, developer's historical data, the context and frequency of contributions, and/or development methodologies might affect which model to consider in practice. Eventually, this topic is open to improvement with further empirical studies on each of these factors","2574-1934","978-1-4503-5663-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449634","personalized defect prediction;bug prediction;customization","Data models;Predictive models;Software;Adaptation models;Analytical models;Prediction algorithms;Software algorithms","program testing;public domain software;search engines;software quality","development methodologies;personalized software defect predictors;testers;defect prone software modules;source code;publicly available software engineering data;static code properties;code unit;defect-prone parts;defect injection patterns;software development;personalized defect prediction framework;historical defect;personalized prediction models;Web search engines","","","","","","30 Aug 2018","","","IEEE","IEEE Conferences"
"Online Defect Prediction for Imbalanced Data","M. Tan; L. Tan; S. Dara; C. Mayeux","Univ. of Waterloo, Waterloo, ON, Canada; Univ. of Waterloo, Waterloo, ON, Canada; Cisco Syst., Bangalore, India; Cisco Syst., Bangalore, India","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","17 Aug 2015","2015","2","","99","108","Many defect prediction techniques are proposed to improve software reliability. Change classification predicts defects at the change level, where a change is the modifications to one file in a commit. In this paper, we conduct the first study of applying change classification in practice. We identify two issues in the prediction process, both of which contribute to the low prediction performance. First, the data are imbalanced -- there are much fewer buggy changes than clean changes. Second, the commonly used cross-validation approach is inappropriate for evaluating the performance of change classification. To address these challenges, we apply and adapt online change classification, resampling, and updatable classification techniques to improve the classification performance. We perform the improved change classification techniques on one proprietary and six open source projects. Our results show that these techniques improve the precision of change classification by 12.2-89.5% or 6.4 -- 34.8 percentage points (pp.) on the seven projects. In addition, we integrate change classification in the development process of the proprietary project. We have learned the following lessons: 1) new solutions are needed to convince developers to use and believe prediction results, and prediction results need to be actionable, 2) new and improved classification algorithms are needed to explain the prediction results, and insensible and unactionable explanations need to be filtered or refined, and 3) new techniques are needed to improve the relatively low precision.","1558-1225","978-1-4799-1934-5","10.1109/ICSE.2015.139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7202954","","Training;Software;Predictive models;Feature extraction;Computer bugs;Data models;Software engineering","pattern classification;public domain software;software performance evaluation;software reliability","online defect prediction techniques;imbalanced data;software reliability;change classification performance evaluation;low prediction performance;cross-validation approach;updatable classification techniques;resampling classification techniques;online change classification techniques;open source projects;proprietary project development process","","96","","53","","17 Aug 2015","","","IEEE","IEEE Conferences"
"Does Socio-Technical Congruence Have an Effect on Continuous Integration Build Failures? An Empirical Study on 10 GitHub Projects","W. Zhang; Z. Chen; B. Luo","State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China","2018 IEEE International Conference on Software Quality, Reliability and Security (QRS)","6 Aug 2018","2018","","","333","343","Coordination is important in software development. Socio-Technical Congruence (STC) is proposed to measure the match between coordination requirements and actual coordination activities, and has been proved to have impact on software failures in commercial projects. Continuous defect prediction is aimed to predict defects just in time, which is more meaningful than traditional defect prediction in practice. In this paper, we compute the build-level STC and investigate its usefulness in continuous defect prediction based on 10 GitHub projects. We find that adding STC metrics into logistic regression models can significantly improve both the explanatory power and the predictive power when predicting build failures. Furthermore, we compare the performance of STC and MDL from the aspects of regression and prediction. MDL is short for Missing Developer Links, a deviation of the STC metric. We find that MDL usually performs better than STC. Our work is promising to help detect coordination issues during real time process of software development.","","978-1-5386-7757-5","10.1109/QRS.2018.00046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8424984","socio-technical congruence;coordination breakdown;software quality;continuous integration;defect prediction","Task analysis;Measurement;Software quality;Computational modeling;Servers;Control systems","regression analysis;software metrics","continuous integration build failures;software development;Socio-Technical Congruence;coordination requirements;software failures;build-level STC;regression;STC metric;GitHub projects;defect prediction","","1","","39","","6 Aug 2018","","","IEEE","IEEE Conferences"
"Large-Scale Empirical Studies on Effort-Aware Security Vulnerability Prediction Methods","X. Chen; Y. Zhao; Z. Cui; G. Meng; Y. Liu; Z. Wang","School of Information Science and Technology, Nantong University, Nantong, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; Computer School, Beijing Information Science and Technology University, Beijing, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; College of Intelligence and Computing, Tianjin University, Tianjin, China","IEEE Transactions on Reliability","3 Mar 2020","2020","69","1","70","87","Security vulnerability prediction (SVP) can identify potential vulnerable modules in advance and then help developers to allocate most of the test resources to these modules. To evaluate the performance of different SVP methods, we should take the security audit and code inspection into account and then consider effort-aware performance measures (such as ACC and P<sub>opt</sub>). However, to the best of our knowledge, the effectiveness of different SVP methods has not been thoroughly investigated in terms of effort-aware performance measures. In this article, we consider 48 different SVP methods, of which 36 are supervised methods and 12 are unsupervised methods. For the supervised methods, we consider 34 software-metric-based methods and two text-mining-based methods. For the software-metric-based methods, in addition to a large number of classification methods, we also consider four state-of-the-art methods (i.e., EALR, OneWay, CBS, and MULTI) proposed in recent effort-aware just-in-time defect prediction studies. For text-mining-based methods, we consider the Bag-of-Word model and the term-frequency-inverse-document-frequency model. For the unsupervised methods, all the modules are ranked in the ascendent order based on a specific metric. Since 12 software metrics are considered when measuring extracted modules, there are 12 different unsupervised methods. To the best of our knowledge, over 40 SVP methods have not been considered in previous SVP studies. In our large-scale empirical studies, we use three real open-source web applications written in PHP as benchmark. These three web applications include 3466 modules and 223 vulnerabilities in total. We evaluate these SVP methods both in the within-project SVP scenario and the cross-project SVP scenario. Empirical results show that two unsupervised methods [i.e., lines of code (LOC) and Halstead's volume (HV)] and four recently proposed state-of-the-art supervised methods (i.e., MULTI, OneWay, CBS, and EALR) can achieve better performance than the other methods in terms of effort-aware performance measures. Then, we analyze the reasons why these six methods can achieve better performance. For example, when using 20% of the entire efforts, we find that these six methods always require more modules to be inspected, especially for unsupervised methods LOC and HV. Finally, from the view of practical vulnerability localization, we find that all the unsupervised methods and the OneWay method have high false alarms before finding the first vulnerable module. This may have an impact on developers' confidence and tolerance, and supervised methods (especially MULTI and text-mining-based methods) are preferred.","1558-1721","","10.1109/TR.2019.2924932","National Natural Science Foundation of China(grant numbers:61702041,61872263,61602267,61202006); Nantong Application Research Plan(grant numbers:JC2018134); Beijing Municipal Education Commission(grant numbers:KM201811232016); Beijing Information Science and Technology University(grant numbers:QXTCP C201906); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8809906","Effort-aware performance measures;security vulnerability prediction (SVP);software metric;supervised method;text mining;unsupervised method","Security;Software metrics;Correlation;Open source software","data mining;Internet;public domain software;security of data;software metrics;software quality;text analysis","within-project SVP scenario;cross-project SVP scenario;supervised methods;unsupervised methods;vulnerable module;text-mining-based methods;effort-aware security vulnerability prediction methods;effort-aware just-in-time defect prediction;effort-aware performance measure;software-metric-based methods;bag-of-word model;term-frequency-inverse-document-frequency model;open-source web applications;lines of code;LOC;Halstead's volume","","4","","70","IEEE","22 Aug 2019","","","IEEE","IEEE Journals"
"Time Series Prediction Algorithm for Intelligent Predictive Maintenance","C. Lin; Y. Hsieh; F. Cheng; H. Huang; M. Adnan","Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan","IEEE Robotics and Automation Letters","14 Jun 2019","2019","4","3","2807","2814","Predictive maintenance aims to find out when the target device (TD) is in the sick state and almost entering the dead state before its actual occurrence to conduct just-in-time maintenance, so as to avoid unexpected TD down time. In this way, not only tool availability and manufacturing quality are improved, but the additional cost of excessive maintenance in preventive maintenance strategy can also be reduced. Among the predictive maintenance technologies proposed by many scholars, exponential model was commonly applied to predict the remaining useful life (RUL) of TD. However, due to the algorithm limitations, when TD is about to die, whether the TD's aging feature suddenly rises or becomes smooth, the exponential model may not be able to keep up with the real-time prediction or even falsely predicts long RUL. To solve the problem of inaccurate RUL prediction, the authors propose the time series prediction (TSP) algorithm. TSP applies the time series analysis model built by information criterion to adapt to the complicated future trend of solving TD fault prediction. Also, the Pre-Alarm Module (PreAM) to make alert of immediate maintenance when a TD is likely to shut down shortly as well as the Death Correlation Index (DCI) to reveal the possibility of entering the dead state are proposed in this work. How to select the most effective predictors and adjust the predictor weights to construct high-performance prediction model are also illustrated in this letter with the tools in various industries (such as solar-cell manufacturing and machine tool industry) being the examples of the TSP algorithm.","2377-3766","","10.1109/LRA.2019.2918684","Intelligent Manufacturing Research Center; Ministry of Education (MOE) in Taiwan; Ministry of Science and Technology of Taiwan, R.O.C.(grant numbers:107-2218-E-006-055,107-2622-8-006-015,107-2622-E-006-002-CC2,105-2221-E-006-255-MY3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8721101","Predictive maintenance (PdM);time series analysis (TSA);remaining useful life (RUL);time series prediction (TSP);pre-alarm module (PreAM);death correlation index (DCI);exponential model","Predictive models;Aging;Prediction algorithms;Maintenance engineering;Time series analysis;Correlation;Indexes","cost reduction;exponential distribution;fault diagnosis;machine tools;preventive maintenance;remaining life assessment;time series","time series prediction algorithm;intelligent predictive maintenance;target device;sick state;dead state;just-in-time maintenance;tool availability;manufacturing quality;preventive maintenance strategy;exponential model;TD fault prediction;death correlation index;pre-alarm module;remaining useful life prediction;additional cost reduction","","4","","21","IEEE","23 May 2019","","","IEEE","IEEE Journals"
"Fault class prediction in unsupervised learning using model-based clustering approach","N. Amruthnath; T. Gupta","Industrial and Entrepreneurial Engineering, Western Michigan University, Kalamazoo, MI, 49008, USA; Industrial and Entrepreneurial Engineering, Western Michigan University, Kalamazoo, MI, 49008, USA","2018 International Conference on Information and Computer Technologies (ICICT)","10 May 2018","2018","","","5","12","Manufacturing industries have been on a steady path considering for new methods to achieve near-zero downtime to have flexibility in the manufacturing process and being economical. In the last decade with the availability of industrial internet of things (IIoT) devices, this has made it possible to monitor the machine continuously using wireless sensors, assess the degradation and predict the failures of time. Condition-based predictive maintenance has made a significant influence in monitoring the asset and predicting the failure of time. This has minimized the impact on production, quality, and maintenance cost. Numerous approaches have been in proposed over the years and implemented in supervised learning. In this paper, challenges of supervised learning such as need for historical data and incapable of classifying new faults accurately will be overcome with a new methodology using unsupervised learning for rapid implementation of predictive maintenance activity which includes fault prediction and fault class detection for known and unknown faults using density estimation via Gaussian Mixture Model Clustering and K-means algorithm and compare their results with a real case vibration data.","","978-1-5386-5384-5","10.1109/INFOCT.2018.8356831","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8356831","unsupervised learning;fault class detection;predictive maintenance;gaussian mixture model;clustering;just-in-time;TPM","Predictive maintenance;Fans;Vibrations;Unsupervised learning;Prediction algorithms;Clustering algorithms","condition monitoring;fault diagnosis;Gaussian processes;maintenance engineering;production engineering computing;unsupervised learning;vibrations","fault class prediction;unsupervised learning;fault class detection;Gaussian Mixture Model Clustering;condition-based predictive maintenance;K-means algorithm","","8","","33","","10 May 2018","","","IEEE","IEEE Conferences"
"Integration of Fiber Optic Cable Diagnostics within Aerospace Transceivers","C. Kuznia","Ultra Commun., San Marcos, CA","IEEE Conference Avionics Fiber-Optics and Photonics, 2006.","9 Oct 2006","2006","","","58","59","OTDR can enable fault prediction (and circumvention with a certain level of redundancy) and it is possible to enter a new era of fiber optic maintenance concepts. Through fault prediction, is possible to replace or inspect suspect components before catastrophic failures occur. Redundant hardware permits completion of a mission segment with failed components and can lead to just-in-time provisioning of spares at scheduled maintenance periods. Topological loss maps with 10 cm resolution of the entire cable plant can be stored within each transceiver's memory and used as a reference for routine inspections","","1-4244-0408-8","10.1109/AVFOP.2006.1707499","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1707499","","Optical fibers;Optical fiber cables;Transceivers;Pulse amplifiers;Pollution measurement;High speed optical techniques;Optical fiber testing;Optical transmitters;Optical receivers;Connectors","aerospace instrumentation;cable testing;optical cables;optical time-domain reflectometry;transceivers","fiber optic cable diagnostics;aerospace transceivers;OTDR;fault prediction;fiber optic maintenance concepts;topological loss maps;cable plant;transceiver's memory;10 cm","","3","1","1","","9 Oct 2006","","","IEEE","IEEE Conferences"
"A Non-Intrusive Deep Learning Based Diagnosis System for Elevators","S. Chai; X. I. Li; Y. Jia; Y. He; C. H. Yip; K. K. Cheung; M. Wang","College of Physics and Optoelectronic Engineering, Shenzhen University, Shenzhen, China; Electrical and Mechanical Services Department, Government of the HKSAR of the PRC, Hong Kong; Ergatian Limited, Hong Kong; Department of Electrical Engineering, The Hong Kong Polytechnic University, Hong Kong; Electrical and Mechanical Services Department, Government of the HKSAR of the PRC, Hong Kong; Electrical and Mechanical Services Department, Government of the HKSAR of the PRC, Hong Kong; Department of Electrical Engineering, The Hong Kong Polytechnic University, Hong Kong","IEEE Access","4 Feb 2021","2021","9","","20993","21003","With the ever-growing number of elevators coupled with the aging workforce, diminishing new installations and limited use of maintenance technology, it is increasingly challenging for the owners and responsible parties to maintain the safe and reliable operation of the lift systems. To address this issue, a non-intrusive artificial intelligence (AI) based diagnosis system, aiming at providing fault detection and potential fault prediction for multi-brand lifts without intervening the existing circuitry of the lift installations, is proposed in this paper. The proposed system employs the multivariate long short term memory fully convolutional network (MLSTM-FCN) to learn and analyze the measured signals from the non-intrusive detection system of the elevators. It is capable of (i) giving advance and clear warnings of corrective actions to prevent major equipment breakdowns, and (ii) indicating just-in-time maintenance for enhancing the lift reliability at a low cost. The implementation of the non-intrusive detection system is provided. The design of the diagnostic algorithm is elaborated. Both the simulations and experiments of a commercial elevator have been conducted to verify the effectiveness of the proposed system.","2169-3536","","10.1109/ACCESS.2021.3053858","Electrical and Mechanical Services Department, the Government of the HKSAR of the PRC(grant numbers:4200397034); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9333567","Deep learning;electric traction system;fault detection;elevator system;artificial intelligence","Elevators;Traction motors;Monitoring;Synchronous motors;Permanent magnet motors;Sensors;Reliability","artificial intelligence;convolutional neural nets;deep learning (artificial intelligence);fault diagnosis;lifts;maintenance engineering;mechanical engineering computing;recurrent neural nets;reliability;security of data","nonintrusive detection system;lift reliability;commercial elevator;maintenance technology;lift systems;fault detection;fault prediction;multibrand lifts;lift installations;multivariate long short term memory fully convolutional network;nonintrusive artificial intelligence based diagnosis;nonintrusive deep learning based diagnosis","","","","22","CCBYNCND","22 Jan 2021","","","IEEE","IEEE Journals"
"Predicting risk of pre-release code changes with Checkinmentor","A. Tarvo; N. Nagappan; T. Zimmermann; T. Bhat; J. Czerwonka","Brown Univ., Providence, RI, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA","2013 IEEE 24th International Symposium on Software Reliability Engineering (ISSRE)","2 Jan 2014","2013","","","128","137","Code defects introduced during the development of the software system can result in failures after its release. Such post-release failures are costly to fix and have negative impact on the reputation of the released software. In this paper we propose a methodology for early detection of faulty code changes. We describe code changes with metrics and then use a statistical model that discriminates between faulty and non-faulty changes. The predictions are done not at a file or binary level but at the change level thereby assessing the impact of each change. We also study the impact of code branches on collecting code metrics and on the accuracy of the model. The model has shown high accuracy and was developed into a tool called CheckinMentor. CheckinMentor was deployed to predict risk for the Windows Phone software. However, our methodology is versatile and can be used to predict risk in a variety of large complex software systems.","2332-6549","978-1-4799-2366-3","10.1109/ISSRE.2013.6698912","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6698912","code change;risk;software metrics;code branch","Measurement;Software systems;Predictive models;Training;Numerical models;Accuracy","risk analysis;software metrics;software tools;system recovery","risk prediction;prerelease code changes;CheckinMentor;code defects;software system development;post-release failures;released software reputation;faulty code change detection;statistical model;faulty changes;nonfaulty changes;code metrics;Windows Phone software;software systems","","5","1","24","","2 Jan 2014","","","IEEE","IEEE Conferences"
